model,dataset,chr,denominator,missing,MAF_bin,R2,Acc,Num_SNPs,Num_SNPs_manuscript,R2_manuscript,R2_minus_manuscript,same_variant_set
1KGP chr22 specialised,1KGP,22,Beagle intersection,25%,10%~20%,0.9432528893641191,0.9753225168875018,17410.0,17410,0.972,-0.028747110635880868,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,25%,20%~30%,0.9425512401166936,0.9731754608707961,11479.0,11479,0.9699,-0.027348759883306428,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,25%,30%~40%,0.9439276666549329,0.9741463437280928,9555.0,9555,0.9697,-0.025772333345067122,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,25%,40%~50%,0.9374195832550848,0.9729653522450549,8010.0,8010,0.9669,-0.029480416744915194,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,25%,Overall,0.9452572106961203,0.9888335966164769,241113.0,241113,0.9694,-0.024142789303879697,True
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,5%,0.1%~0.5%,0.8181265512982309,0.9943489302857448,6837.0,7284,0.748,0.07012655129823087,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,5%,0.5%~1%,0.8844485025344896,0.9956360103418928,7548.0,7985,0.7947,0.08974850253448963,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,5%,1%~10%,0.9613435319365703,0.9952666766030956,68923.0,72092,0.9343,0.027043531936570275,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,5%,10%~20%,0.9738949243863783,0.9919452679640651,40538.0,42001,0.9685,0.00539492438637823,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,5%,20%~30%,0.9702348774469378,0.9893878643878645,26936.0,28117,0.967,0.003234877446937845,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,5%,30%~40%,0.9682100495902674,0.9894533068167393,23633.0,24765,0.969,-0.0007899504097326204,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,5%,40%~50%,0.9696494845679817,0.9903896418332591,22028.0,23241,0.968,0.0016494845679817516,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,5%,Overall,0.9744310744365666,0.9925111671687015,196443.0,205485,0.968,0.006431074436566653,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,15%,0.1%~0.5%,0.5619319806009647,0.9805182141733261,6837.0,7284,0.5159,0.046031980600964695,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,15%,0.5%~1%,0.6719636400973036,0.9842512967512969,7548.0,7985,0.5783,0.09366364009730355,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,15%,1%~10%,0.841953338708381,0.9784608119996886,68923.0,72092,0.8256,0.01635333870838096,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,15%,10%~20%,0.9043856371837699,0.9695525111492845,40538.0,42001,0.9127,-0.008314362816230103,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,15%,20%~30%,0.9032961662588693,0.9649860274860275,26936.0,28117,0.9128,-0.009503833741130618,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,15%,30%~40%,0.8911713640915533,0.9628341340883125,23633.0,24765,0.9158,-0.02462863590844666,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,15%,40%~50%,0.8919222256934529,0.9649076106993303,22028.0,23241,0.9105,-0.018577774306547057,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,15%,Overall,0.9067105939984708,0.9716692049926117,196443.0,205485,0.912,-0.005289406001529273,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,25%,0.1%~0.5%,0.4352732548781719,0.9691484835188214,6837.0,7284,0.3988,0.036473254878171935,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,25%,0.5%~1%,0.5427542570569606,0.9746491143549968,7548.0,7985,0.4588,0.08395425705696058,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,25%,1%~10%,0.7537833202425223,0.9647920670366008,68923.0,72092,0.7455,0.008283320242522207,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,25%,10%~20%,0.8512164543147658,0.9520242510954929,40538.0,42001,0.8692,-0.017983545685234192,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,25%,20%~30%,0.849622936454638,0.9446752571752572,26936.0,28117,0.8694,-0.019777063545361906,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,25%,30%~40%,0.8311415211745775,0.9410791151048419,23633.0,24765,0.8737,-0.04255847882542252,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,25%,40%~50%,0.8326339904088677,0.9443163934606645,22028.0,23241,0.8657,-0.03306600959113237,False
SGDP chr19 genome-wide,SGDP,19,Beagle intersection,25%,Overall,0.8534307706828715,0.9547804675857087,196443.0,205485,0.8676,-0.014169229317128496,False
SGDP chr19 genome-wide,SGDP,19,full target axis,5%,0.1%~0.5%,0.8119211791730957,0.9941663338492003,7284.0,7284,0.748,0.0639211791730957,True
SGDP chr19 genome-wide,SGDP,19,full target axis,5%,0.5%~1%,0.880879463314486,0.9953577730972846,7985.0,7985,0.7947,0.086179463314486,True
SGDP chr19 genome-wide,SGDP,19,full target axis,5%,1%~10%,0.9588856420729074,0.995067188047089,72092.0,72092,0.9343,0.024585642072907365,True
SGDP chr19 genome-wide,SGDP,19,full target axis,5%,10%~20%,0.9731758870009215,0.9917655279491903,42001.0,42001,0.9685,0.004675887000921475,True
SGDP chr19 genome-wide,SGDP,19,full target axis,5%,20%~30%,0.9693206254443822,0.9890902301098979,28117.0,28117,0.967,0.002320625444382274,True
SGDP chr19 genome-wide,SGDP,19,full target axis,5%,30%~40%,0.9671809978162037,0.9891577801026621,24765.0,24765,0.969,-0.00181900218379627,True
SGDP chr19 genome-wide,SGDP,19,full target axis,5%,40%~50%,0.9685943547030194,0.9900945690283498,23241.0,23241,0.968,0.0005943547030193841,True
SGDP chr19 genome-wide,SGDP,19,full target axis,5%,Overall,0.9734320699660195,0.9922792424994521,205486.0,205485,0.968,0.005432069966019526,False
SGDP chr19 genome-wide,SGDP,19,full target axis,15%,0.1%~0.5%,0.552446876809054,0.9798936648195298,7284.0,7284,0.5159,0.036546876809053996,True
SGDP chr19 genome-wide,SGDP,19,full target axis,15%,0.5%~1%,0.6619312270612873,0.983305819623916,7985.0,7985,0.5783,0.08363122706128723,True
SGDP chr19 genome-wide,SGDP,19,full target axis,15%,1%~10%,0.8356554987208122,0.9778173730984684,72092.0,72092,0.8256,0.01005549872081224,True
SGDP chr19 genome-wide,SGDP,19,full target axis,15%,10%~20%,0.9018993585947884,0.9689062237334899,42001.0,42001,0.9127,-0.01080064140521153,True
SGDP chr19 genome-wide,SGDP,19,full target axis,15%,20%~30%,0.9003199143555612,0.9639870627173682,28117.0,28117,0.9128,-0.012480085644438699,True
SGDP chr19 genome-wide,SGDP,19,full target axis,15%,30%~40%,0.8880408309400704,0.9618244834780268,24765.0,24765,0.9158,-0.02775916905992959,True
SGDP chr19 genome-wide,SGDP,19,full target axis,15%,40%~50%,0.8886822661557218,0.9638801204245891,23241.0,23241,0.9105,-0.02181773384427821,True
SGDP chr19 genome-wide,SGDP,19,full target axis,15%,Overall,0.9036041887029652,0.9708866105749591,205486.0,205485,0.912,-0.008395811297034816,False
SGDP chr19 genome-wide,SGDP,19,full target axis,25%,0.1%~0.5%,0.4249027539490666,0.968121287005142,7284.0,7284,0.3988,0.026102753949066637,True
SGDP chr19 genome-wide,SGDP,19,full target axis,25%,0.5%~1%,0.5340461479980245,0.9732395969715947,7985.0,7985,0.4588,0.07524614799802454,True
SGDP chr19 genome-wide,SGDP,19,full target axis,25%,1%~10%,0.7450867274354976,0.9637918236083105,72092.0,72092,0.7455,-0.00041327256450240935,True
SGDP chr19 genome-wide,SGDP,19,full target axis,25%,10%~20%,0.8473432066864924,0.9510123496338111,42001.0,42001,0.8692,-0.02185679331350754,True
SGDP chr19 genome-wide,SGDP,19,full target axis,25%,20%~30%,0.845182132928037,0.9431105521193368,28117.0,28117,0.8694,-0.02421786707196294,True
SGDP chr19 genome-wide,SGDP,19,full target axis,25%,30%~40%,0.8266231042542828,0.9395673879925849,24765.0,24765,0.8737,-0.04707689574571727,True
SGDP chr19 genome-wide,SGDP,19,full target axis,25%,40%~50%,0.8278217281741346,0.9427266077582329,23241.0,23241,0.8657,-0.03787827182586545,True
SGDP chr19 genome-wide,SGDP,19,full target axis,25%,Overall,0.8487684435286923,0.9535684286093072,205486.0,205485,0.8676,-0.018831556471307742,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,5%,0.1%~0.5%,0.8595596842027818,0.9963201563684233,6837.0,7284,0.748,0.11155968420278184,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,5%,0.5%~1%,0.8843839389690986,0.9964710700004819,7548.0,7985,0.7947,0.08968393896909865,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,5%,1%~10%,0.9651222266066747,0.9962876886327693,68923.0,72092,0.9343,0.030822226606674663,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,5%,10%~20%,0.9803133417704774,0.9941749379930839,40538.0,42001,0.9685,0.011813341770477326,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,5%,20%~30%,0.980116968300431,0.992759774009774,26936.0,28117,0.967,0.013116968300431076,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,5%,30%~40%,0.9801241528613637,0.9930368296001099,23633.0,24765,0.969,0.0111241528613637,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,5%,40%~50%,0.9803377388092024,0.9934848759980411,22028.0,23241,0.968,0.012337738809202414,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,5%,Overall,0.9812842730884731,0.9946707495843886,196443.0,205485,0.968,0.01328427308847313,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,15%,0.1%~0.5%,0.6307574402272539,0.9870834275178285,6837.0,7284,0.5159,0.11485744022725386,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,15%,0.5%~1%,0.6803052555304632,0.9877129803600391,7548.0,7985,0.5783,0.10200525553046313,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,15%,1%~10%,0.8661688386045597,0.9835558697694705,68923.0,72092,0.8256,0.04056883860455973,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,15%,10%~20%,0.9289197333551876,0.9781366753528675,40538.0,42001,0.9127,0.01621973335518767,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,15%,20%~30%,0.9332405754543678,0.9756282568782569,26936.0,28117,0.9128,0.020440575454367838,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,15%,30%~40%,0.9310290380501262,0.9752791743440413,23633.0,24765,0.9158,0.015229038050126209,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,15%,40%~50%,0.9310176401424967,0.9765505059676114,22028.0,23241,0.9105,0.020517640142496685,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,15%,Overall,0.9323281526391725,0.9798517774991865,196443.0,205485,0.912,0.020328152639172425,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,25%,0.1%~0.5%,0.5143507425844848,0.9798988126105282,6837.0,7284,0.3988,0.11555074258448478,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,25%,0.5%~1%,0.5669417294507414,0.980361042861043,7548.0,7985,0.4588,0.10814172945074141,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,25%,1%~10%,0.7929441175390978,0.973151527462135,68923.0,72092,0.7455,0.04744411753909772,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,25%,10%~20%,0.8896139734191998,0.9654837511231511,40538.0,42001,0.8692,0.020413973419199816,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,25%,20%~30%,0.8960798016618229,0.9614403051903052,26936.0,28117,0.8694,0.026679801661822933,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,25%,30%~40%,0.8924349272932689,0.9607242184464712,23633.0,24765,0.8737,0.018734927293268866,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,25%,40%~50%,0.8918683563889397,0.9627172166553862,22028.0,23241,0.8657,0.026168356388939662,False
SGDP chr19 specialised,SGDP,19,Beagle intersection,25%,Overall,0.8941011585906122,0.967810116559372,196443.0,205485,0.8676,0.026501158590612195,False
SGDP chr19 specialised,SGDP,19,full target axis,5%,0.1%~0.5%,0.8529004524751387,0.9961413975005408,7284.0,7284,0.748,0.10490045247513868,True
SGDP chr19 specialised,SGDP,19,full target axis,5%,0.5%~1%,0.8867407802441324,0.9963292916642947,7985.0,7985,0.7947,0.09204078024413243,True
SGDP chr19 specialised,SGDP,19,full target axis,5%,1%~10%,0.9636759965783658,0.9961679337589621,72092.0,72092,0.9343,0.02937599657836576,True
SGDP chr19 specialised,SGDP,19,full target axis,5%,10%~20%,0.9798474182062883,0.9940331507258485,42001.0,42001,0.9685,0.011347418206288262,True
SGDP chr19 specialised,SGDP,19,full target axis,5%,20%~30%,0.9795663000861242,0.9925398308582859,28117.0,28117,0.967,0.012566300086124249,True
SGDP chr19 specialised,SGDP,19,full target axis,5%,30%~40%,0.9795788325524487,0.9928411920537904,24765.0,24765,0.969,0.010578832552448736,True
SGDP chr19 specialised,SGDP,19,full target axis,5%,40%~50%,0.9797805218204533,0.9932935916542474,23241.0,23241,0.968,0.011780521820453305,True
SGDP chr19 specialised,SGDP,19,full target axis,5%,Overall,0.9807098885393174,0.9945144460184414,205486.0,205485,0.968,0.012709888539317427,False
SGDP chr19 specialised,SGDP,19,full target axis,15%,0.1%~0.5%,0.619846163892834,0.9865832958913684,7284.0,7284,0.5159,0.10394616389283395,True
SGDP chr19 specialised,SGDP,19,full target axis,15%,0.5%~1%,0.6855459046692439,0.9872412288191876,7985.0,7985,0.5783,0.10724590466924389,True
SGDP chr19 specialised,SGDP,19,full target axis,15%,1%~10%,0.8626024882186621,0.9831347892810172,72092.0,72092,0.8256,0.037002488218662144,True
SGDP chr19 specialised,SGDP,19,full target axis,15%,10%~20%,0.9271550926312307,0.9775883763229304,42001.0,42001,0.9127,0.014455092631230793,True
SGDP chr19 specialised,SGDP,19,full target axis,15%,20%~30%,0.931303598729167,0.9748642307414581,28117.0,28117,0.9128,0.01850359872916707,True
SGDP chr19 specialised,SGDP,19,full target axis,15%,30%~40%,0.9291441242978747,0.9746177706807627,24765.0,24765,0.9158,0.013344124297874793,True
SGDP chr19 specialised,SGDP,19,full target axis,15%,40%~50%,0.9288758669733294,0.9757934971243348,23241.0,23241,0.9105,0.01837586697332938,True
SGDP chr19 specialised,SGDP,19,full target axis,15%,Overall,0.9304583281647419,0.9792944678970977,205486.0,205485,0.912,0.01845832816474191,False
SGDP chr19 specialised,SGDP,19,full target axis,25%,0.1%~0.5%,0.5021036504047799,0.9790709816451167,7284.0,7284,0.3988,0.1033036504047799,True
SGDP chr19 specialised,SGDP,19,full target axis,25%,0.5%~1%,0.5726481342870765,0.9795772376235745,7985.0,7985,0.4588,0.11384813428707652,True
SGDP chr19 specialised,SGDP,19,full target axis,25%,1%~10%,0.787782100847943,0.9724721098883639,72092.0,72092,0.7455,0.04228210084794293,True
SGDP chr19 specialised,SGDP,19,full target axis,25%,10%~20%,0.8869431498481181,0.9646345000443713,42001.0,42001,0.8692,0.01774314984811809,True
SGDP chr19 specialised,SGDP,19,full target axis,25%,20%~30%,0.8929398212216956,0.9601836913072108,28117.0,28117,0.8694,0.023539821221695623,True
SGDP chr19 specialised,SGDP,19,full target axis,25%,30%~40%,0.8896469958379245,0.9596754951085661,24765.0,24765,0.8737,0.01594699583792447,True
SGDP chr19 specialised,SGDP,19,full target axis,25%,40%~50%,0.8886088392560721,0.9615321929766232,23241.0,23241,0.8657,0.022908839256072122,True
SGDP chr19 specialised,SGDP,19,full target axis,25%,Overall,0.8912171622789162,0.9669191132684997,205486.0,205485,0.8676,0.023617162278916193,False
