anchor,denominator,missing,MAF_bin,R2_manuscript,R2_revision,R2_delta,Acc_manuscript,Acc_revision,Acc_delta,R2_beagle_manuscript,Num_SNPs_revision,Num_SNPs_manuscript,same_variant_set,revision_run,model_scope
1KGP_chr22,Beagle intersection,25%,30%~40%,0.9697,0.8079599521655019,-0.16174004783449814,0.9844,0.9285978913355338,-0.05580210866446622,0.8463,9555.0,9555,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,25%,40%~50%,0.9669,0.8037357370012552,-0.16316426299874476,0.9838,0.9315196941718923,-0.05228030582810772,0.8264,8010.0,8010,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,25%,Overall,0.9694,0.8698832972551752,-0.09951670274482483,0.9932,0.9781448418888962,-0.015055158111103806,0.9163,241113.0,241113,True,v3low_ref_g22,genome-wide single model
SGDP_chr22,Beagle intersection,5%,<=0.5%,0.9593,0.8355889065850689,-0.12371109341493114,0.9984,0.9944128012309831,-0.003987198769016875,0.8943,2442.0,2631,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,5%,0.5%~1%,0.9601,0.8627159434039631,-0.09738405659603688,0.9987,0.9952773264156143,-0.003422673584385749,0.883,3189.0,3398,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,5%,1%~10%,0.986,0.9662158359302637,-0.019784164069736265,0.9979,0.9954235235148524,-0.002476476485147594,0.9288,40929.0,43281,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,5%,10%~20%,0.9846,0.9750891021549059,-0.00951089784509418,0.9939,0.9917505968444734,-0.002149403155526586,0.9183,21997.0,23204,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,5%,20%~30%,0.9824,0.9680302459561408,-0.014369754043859206,0.992,0.9885276949826131,-0.003472305017386934,0.8912,15128.0,15873,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,5%,30%~40%,0.9842,0.9687090949123851,-0.015490905087614859,0.993,0.989458032611601,-0.003541967388398959,0.8719,14964.0,15835,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,5%,40%~50%,0.9839,0.9679765442266887,-0.015923455773311335,0.9932,0.9898809834265944,-0.0033190165734056087,0.8578,12201.0,13096,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,5%,Overall,0.9872,0.9746438875614745,-0.012556112438525502,0.9951,0.9923117507961892,-0.002788249203810822,0.916,110850.0,117318,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,15%,<=0.5%,0.9343,0.5829595752682016,-0.3513404247317984,0.9976,0.9804432531705259,-0.0171567468294741,0.8869,2442.0,2631,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,15%,0.5%~1%,0.9286,0.6370325573718744,-0.2915674426281256,0.9974,0.983423130647966,-0.013976869352033905,0.8683,3189.0,3398,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,15%,1%~10%,0.9335,0.8606869988097302,-0.07281300119026979,0.9886,0.9788029085104508,-0.009797091489549214,0.9236,40929.0,43281,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,15%,10%~20%,0.947,0.9091237448293247,-0.03787625517067528,0.9781,0.9687305844736404,-0.009369415526359615,0.9134,21997.0,23204,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,15%,20%~30%,0.9458,0.8946124845729218,-0.05118751542707822,0.9752,0.9616009046039453,-0.013599095396054639,0.8869,15128.0,15873,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,15%,30%~40%,0.9504,0.8916124820240059,-0.05878751797599413,0.9778,0.9626492470818855,-0.015150752918114518,0.8664,14964.0,15835,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,15%,40%~50%,0.949,0.8873428641292024,-0.061657135870797575,0.9777,0.9628545101866961,-0.014845489813303914,0.8521,12201.0,13096,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,15%,Overall,0.9557,0.9074086034390184,-0.04829139656098158,0.9825,0.9706895750468144,-0.011810424953185628,0.9118,110850.0,117318,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,25%,<=0.5%,0.8958,0.4422537484435615,-0.4535462515564385,0.9962,0.9681923659196388,-0.02800763408036122,0.8874,2442.0,2631,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,25%,0.5%~1%,0.8812,0.5053820499989014,-0.37581795000109863,0.9956,0.9736024402063913,-0.021997559793608734,0.8654,3189.0,3398,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,25%,1%~10%,0.8931,0.7815582240111958,-0.11154177598880421,0.9813,0.9651649160371581,-0.0161350839628418,0.9198,40929.0,43281,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,25%,10%~20%,0.9179,0.8573731206392253,-0.06052687936077472,0.966,0.9502173850153119,-0.015782614984688026,0.9117,21997.0,23204,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,25%,20%~30%,0.9179,0.8372120175863552,-0.08068798241364483,0.962,0.9398040759258368,-0.022195924074163154,0.8838,15128.0,15873,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,25%,30%~40%,0.9242,0.8310204455771671,-0.09317955442283288,0.9658,0.9405543000170106,-0.025245699982989422,0.862,14964.0,15835,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,25%,40%~50%,0.9221,0.8242575523199237,-0.09784244768007633,0.9658,0.9410406002488618,-0.024759399751138167,0.8465,12201.0,13096,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,Beagle intersection,25%,Overall,0.9312,0.8542272237662806,-0.07697277623371945,0.9726,0.9530695315810336,-0.01953046841896644,0.909,110850.0,117318,False,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,5%,<=0.5%,0.9593,0.8213042518673063,-0.13799574813269377,0.9984,0.9940165624316138,-0.004383437568386106,0.8943,2631.0,2631,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,5%,0.5%~1%,0.9601,0.8536791385210343,-0.10642086147896568,0.9987,0.9949970570924073,-0.0037029429075927656,0.883,3398.0,3398,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,5%,1%~10%,0.986,0.9641035217901056,-0.021896478209894377,0.9979,0.9951824686176942,-0.0027175313823057934,0.9288,43281.0,43281,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,5%,10%~20%,0.9846,0.9742122236882457,-0.01038777631175436,0.9939,0.9914989839787288,-0.002401016021271185,0.9183,23204.0,23204,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,5%,20%~30%,0.9824,0.9671217418694308,-0.015278258130569267,0.992,0.9882151700333518,-0.0037848299666481955,0.8912,15873.0,15873,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,5%,30%~40%,0.9842,0.9677493566835453,-0.016450643316454627,0.993,0.9891619064021969,-0.0038380935978030717,0.8719,15835.0,15835,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,5%,40%~50%,0.9839,0.9667847318039492,-0.017115268196050804,0.9932,0.9895411043853316,-0.003658895614668367,0.8578,13096.0,13096,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,5%,Overall,0.9872,0.973624739713617,-0.013575260286383006,0.9951,0.9920373762686961,-0.0030626237313038374,0.916,117318.0,117318,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,15%,<=0.5%,0.9343,0.5590348354746232,-0.37526516452537684,0.9976,0.9791875424714648,-0.018412457528535264,0.8869,2631.0,2631,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,15%,0.5%~1%,0.9286,0.6183483739585056,-0.31025162604149437,0.9974,0.9825811083168352,-0.014818891683164748,0.8683,3398.0,3398,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,15%,1%~10%,0.9335,0.8546827802556414,-0.07881721974435862,0.9886,0.9780187331133474,-0.010581266886652618,0.9236,43281.0,43281,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,15%,10%~20%,0.947,0.9060441867585071,-0.04095581324149289,0.9781,0.9678000919381716,-0.010299908061828345,0.9134,23204.0,23204,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,15%,20%~30%,0.9458,0.8918945117523283,-0.05390548824767172,0.9752,0.9606030060575516,-0.0145969939424484,0.8869,15873.0,15873,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,15%,30%~40%,0.9504,0.888796389276513,-0.06160361072348697,0.9778,0.9616265273511879,-0.01617347264881208,0.8664,15835.0,15835,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,15%,40%~50%,0.949,0.8834146468933585,-0.06558535310664149,0.9777,0.9616636354380704,-0.016036364561929584,0.8521,13096.0,13096,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,15%,Overall,0.9557,0.9041413461377287,-0.05155865386227132,0.9825,0.9697614151022834,-0.01273858489771662,0.9118,117318.0,117318,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,25%,<=0.5%,0.8958,0.42078567777679265,-0.4750143222232074,0.9962,0.9663885145641132,-0.029811485435886742,0.8874,2631.0,2631,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,25%,0.5%~1%,0.8812,0.4850011503478484,-0.3961988496521516,0.9956,0.9722251948561542,-0.023374805143845823,0.8654,3398.0,3398,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,25%,1%~10%,0.8931,0.7729179804950497,-0.12018201950495033,0.9813,0.9639632969327293,-0.017336703067270642,0.9198,43281.0,43281,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,25%,10%~20%,0.9179,0.8530409917278684,-0.06485900827213165,0.966,0.9488368645949236,-0.017163135405076413,0.9117,23204.0,23204,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,25%,20%~30%,0.9179,0.8331486146316847,-0.08475138536831539,0.962,0.9382618473527563,-0.02373815264724366,0.8838,15873.0,15873,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,25%,30%~40%,0.9242,0.8268102263149263,-0.09738977368507373,0.9658,0.9390212513515325,-0.02677874864846752,0.862,15835.0,15835,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,25%,40%~50%,0.9221,0.8186516221978577,-0.10344837780214233,0.9658,0.9392175033783158,-0.026582496621684215,0.8465,13096.0,13096,True,ft_sgdp_full,genome-wide single model
SGDP_chr22,full target axis,25%,Overall,0.9312,0.8493525273047436,-0.08184747269525638,0.9726,0.9516589073882072,-0.020941092611792778,0.909,117318.0,117318,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,5%,<=0.5%,0.748,0.8181265512982309,0.07012655129823087,0.9941,0.9943489302857448,0.00024893028574479725,0.8719,6837.0,7284,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,5%,0.5%~1%,0.7947,0.8844485025344896,0.08974850253448963,0.9944,0.9956360103418928,0.0012360103418928015,0.8898,7548.0,7985,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,5%,1%~10%,0.9343,0.9613435319365703,0.027043531936570275,0.9942,0.9952666766030956,0.0010666766030956731,0.9202,68923.0,72092,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,5%,10%~20%,0.9685,0.9738949243863783,0.00539492438637823,0.9915,0.9919452679640651,0.00044526796406507696,0.9103,40538.0,42001,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,5%,20%~30%,0.967,0.9702348774469378,0.003234877446937845,0.9883,0.9893878643878645,0.0010878643878645677,0.889,26936.0,28117,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,5%,30%~40%,0.969,0.9682100495902674,-0.0007899504097326204,0.9891,0.9894533068167393,0.000353306816739285,0.8654,23633.0,24765,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,5%,40%~50%,0.968,0.9696494845679817,0.0016494845679817516,0.9891,0.9903896418332591,0.0012896418332590809,0.8486,22028.0,23241,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,5%,Overall,0.968,0.9744310744365666,0.006431074436566653,0.9917,0.9925111671687015,0.0008111671687014432,0.9113,196443.0,205485,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,15%,<=0.5%,0.5159,0.5619319806009647,0.046031980600964695,0.9829,0.9805182141733261,-0.002381785826673921,0.869,6837.0,7284,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,15%,0.5%~1%,0.5783,0.6719636400973036,0.09366364009730355,0.9833,0.9842512967512969,0.0009512967512969039,0.8838,7548.0,7985,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,15%,1%~10%,0.8256,0.841953338708381,0.01635333870838096,0.981,0.9784608119996886,-0.0025391880003113876,0.9142,68923.0,72092,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,15%,10%~20%,0.9127,0.9043856371837699,-0.008314362816230103,0.9755,0.9695525111492845,-0.005947488850715499,0.9054,40538.0,42001,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,15%,20%~30%,0.9128,0.9032961662588693,-0.009503833741130618,0.9699,0.9649860274860275,-0.00491397251397252,0.8849,26936.0,28117,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,15%,30%~40%,0.9158,0.8911713640915533,-0.02462863590844666,0.9705,0.9628341340883125,-0.007665865911687497,0.8604,23633.0,24765,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,15%,40%~50%,0.9105,0.8919222256934529,-0.018577774306547057,0.9701,0.9649076106993303,-0.005192389300669675,0.8435,22028.0,23241,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,15%,Overall,0.912,0.9067105939984708,-0.005289406001529273,0.976,0.9716692049926117,-0.004330795007388311,0.9074,196443.0,205485,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,25%,<=0.5%,0.3988,0.4352732548781719,0.036473254878171935,0.9733,0.9691484835188214,-0.004151516481178619,0.8618,6837.0,7284,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,25%,0.5%~1%,0.4588,0.5427542570569606,0.08395425705696058,0.9737,0.9746491143549968,0.0009491143549967829,0.8803,7548.0,7985,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,25%,1%~10%,0.7455,0.7537833202425223,0.008283320242522207,0.9701,0.9647920670366008,-0.0053079329633991534,0.9108,68923.0,72092,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,25%,10%~20%,0.8692,0.8512164543147658,-0.017983545685234192,0.9626,0.9520242510954929,-0.010575748904507076,0.9046,40538.0,42001,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,25%,20%~30%,0.8694,0.849622936454638,-0.019777063545361906,0.9543,0.9446752571752572,-0.009624742824742794,0.8848,26936.0,28117,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,25%,30%~40%,0.8737,0.8311415211745775,-0.04255847882542252,0.9551,0.9410791151048419,-0.01402088489515807,0.8608,23633.0,24765,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,25%,40%~50%,0.8657,0.8326339904088677,-0.03306600959113237,0.9544,0.9443163934606645,-0.010083606539335488,0.8436,22028.0,23241,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,Beagle intersection,25%,Overall,0.8676,0.8534307706828715,-0.014169229317128496,0.9631,0.9547804675857087,-0.008319532414291286,0.9068,196443.0,205485,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,5%,<=0.5%,0.748,0.8119211791730957,0.0639211791730957,0.9941,0.9941663338492003,6.633384920029517e-05,0.8719,7284.0,7284,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,5%,0.5%~1%,0.7947,0.880879463314486,0.086179463314486,0.9944,0.9953577730972846,0.0009577730972846199,0.8898,7985.0,7985,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,5%,1%~10%,0.9343,0.9588856420729074,0.024585642072907365,0.9942,0.995067188047089,0.0008671880470890736,0.9202,72092.0,72092,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,5%,10%~20%,0.9685,0.9731758870009215,0.004675887000921475,0.9915,0.9917655279491903,0.00026552794919021405,0.9103,42001.0,42001,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,5%,20%~30%,0.967,0.9693206254443822,0.002320625444382274,0.9883,0.9890902301098979,0.0007902301098979825,0.889,28117.0,28117,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,5%,30%~40%,0.969,0.9671809978162037,-0.00181900218379627,0.9891,0.9891577801026621,5.778010266210831e-05,0.8654,24765.0,24765,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,5%,40%~50%,0.968,0.9685943547030194,0.0005943547030193841,0.9891,0.9900945690283498,0.0009945690283498232,0.8486,23241.0,23241,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,5%,Overall,0.968,0.9734320699660195,0.005432069966019526,0.9917,0.9922792424994521,0.0005792424994520706,0.9113,205486.0,205485,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,15%,<=0.5%,0.5159,0.552446876809054,0.036546876809053996,0.9829,0.9798936648195298,-0.003006335180470221,0.869,7284.0,7284,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,15%,0.5%~1%,0.5783,0.6619312270612873,0.08363122706128723,0.9833,0.983305819623916,5.819623916103467e-06,0.8838,7985.0,7985,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,15%,1%~10%,0.8256,0.8356554987208122,0.01005549872081224,0.981,0.9778173730984684,-0.0031826269015315933,0.9142,72092.0,72092,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,15%,10%~20%,0.9127,0.9018993585947884,-0.01080064140521153,0.9755,0.9689062237334899,-0.006593776266510143,0.9054,42001.0,42001,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,15%,20%~30%,0.9128,0.9003199143555612,-0.012480085644438699,0.9699,0.9639870627173682,-0.005912937282631758,0.8849,28117.0,28117,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,15%,30%~40%,0.9158,0.8880408309400704,-0.02775916905992959,0.9705,0.9618244834780268,-0.008675516521973181,0.8604,24765.0,24765,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,15%,40%~50%,0.9105,0.8886822661557218,-0.02181773384427821,0.9701,0.9638801204245891,-0.006219879575410814,0.8435,23241.0,23241,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,15%,Overall,0.912,0.9036041887029652,-0.008395811297034816,0.976,0.9708866105749591,-0.005113389425040915,0.9074,205486.0,205485,False,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,25%,<=0.5%,0.3988,0.4249027539490666,0.026102753949066637,0.9733,0.968121287005142,-0.005178712994858059,0.8618,7284.0,7284,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,25%,0.5%~1%,0.4588,0.5340461479980245,0.07524614799802454,0.9737,0.9732395969715947,-0.00046040302840533176,0.8803,7985.0,7985,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,25%,1%~10%,0.7455,0.7450867274354976,-0.00041327256450240935,0.9701,0.9637918236083105,-0.006308176391689457,0.9108,72092.0,72092,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,25%,10%~20%,0.8692,0.8473432066864924,-0.02185679331350754,0.9626,0.9510123496338111,-0.011587650366188917,0.9046,42001.0,42001,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,25%,20%~30%,0.8694,0.845182132928037,-0.02421786707196294,0.9543,0.9431105521193368,-0.011189447880663228,0.8848,28117.0,28117,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,25%,30%~40%,0.8737,0.8266231042542828,-0.04707689574571727,0.9551,0.9395673879925849,-0.01553261200741507,0.8608,24765.0,24765,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,25%,40%~50%,0.8657,0.8278217281741346,-0.03787827182586545,0.9544,0.9427266077582329,-0.011673392241767111,0.8436,23241.0,23241,True,ft_sgdp_full,genome-wide single model
SGDP_chr19,full target axis,25%,Overall,0.8676,0.8487684435286923,-0.018831556471307742,0.9631,0.9535684286093072,-0.009531571390692717,0.9068,205486.0,205485,False,ft_sgdp_full,genome-wide single model
